      x1        x2         z
    1.2983   -2.7585   -0.0919
   -0.6367   -0.5556   -0.4318
   -2.0126   -2.7585    0.1622
    0.6334    2.7486    0.2925
    2.2922   -0.8417    0.5297
   -0.6367    2.8169    0.2814
   -0.3145   -0.3094   -0.2904
   -0.9401    2.8169    0.2000
   -0.3145    0.6294    0.5726
    2.5464    2.8169   -0.2847
    1.5159   -3.0138   -0.0066
    0.8757    1.1519    0.6193
    1.9283    1.5818   -0.3513
    0.6334   -2.7585   -0.3196
    2.5464   -0.5556    0.4253
    3.0618    0.9298   -0.8208
    1.9283    0.6294   -0.2184
   -1.7247    0.9298   -0.1264
   -0.3145   -1.7989   -0.9383
   -1.6126   -1.2175    0.0396
   -2.9031   -2.2443    0.7447
    3.0618   -0.5556    0.5284
   -0.3145    0.9298    0.7328
    3.0618    2.8169   -0.3274
   -0.6367    0.2967    0.2579
   -2.2586   -1.6039    0.5878
    2.2922    2.8169   -0.2011
   -2.7707   -0.3094    0.2947
   -2.0126   -2.1076    0.4026
    2.5464    2.7486   -0.3081
    0.3119    2.7486    0.3621
    0.6334    2.8169    0.2661
    2.2922   -2.7585    0.2693
   -0.6367    2.5090    0.4527
    1.9283    0.2967   -0.1117
   -1.7247   -3.0138    0.0210
    2.2922   -1.7989    0.6708
    1.5159         0         0
   -2.7707   -0.5556    0.4473
   -2.9031   -3.0138    0.1357
    1.5159    1.1519    0.0486
   -1.7247    2.7486   -0.0558
   -2.0126         0         0
    2.2922         0         0
    0.3119   -2.1076   -0.8104
    1.9283    1.7479   -0.3419
   -1.7247   -1.6039    0.1575
    2.2922   -1.2175    0.5803
   -0.9401   -2.7585   -0.2371
    0.3119   -1.6039   -0.9670
    2.6557   -1.2175    0.8750
   -2.0126   -0.8417    0.3069
    2.6557   -2.1076    0.7563
   -1.7247    2.8169   -0.0474
    0.8757    0.2967    0.1838
   -1.1186   -2.2443   -0.3440
   -2.9031   -0.8417    0.7432
    2.6557    0.6294   -0.5403
   -0.3145   -1.6039   -0.9791
    1.2983    2.5090    0.1452
    2.2922    2.5090   -0.3519
   -0.3145   -0.5556   -0.5046
    1.2983    0.9298    0.1955
   -0.9401    0.2967    0.1661
    2.6557   -1.7989    0.8323
    2.5464    1.7479   -0.8234
    3.0618         0         0
   -2.0126    1.5818   -0.3895
   -1.7247    1.5818   -0.1502
   -1.6126    1.7479   -0.0447
    1.9283         0         0
   -0.9401    1.9279    0.5387
    1.2983    2.8169    0.0887
   -1.6126   -2.2443    0.0335
    1.2983   -1.7989   -0.2439
   -2.7707    0.6294   -0.5525
    1.5159    1.7479    0.0501
    1.2983    2.7486    0.1043
    1.5159   -2.1076   -0.0481
   -2.0126    2.5090   -0.2638
    0.8757   -1.6039   -0.5869
    0.3119   -3.0138   -0.1312
         0   -0.3094   -0.3268
   -1.7247   -1.2175    0.1340
    2.2922    1.1519   -0.5955
         0   -2.2443   -0.8153
   -0.3145    1.1519    0.7980
    2.6557   -2.2443    0.7595
    2.2922    2.7486   -0.2345
   -1.6126   -1.6039    0.0410
   -1.6126         0         0
   -1.1186    2.7486    0.1560
   -2.0126    1.9279   -0.3612
   -1.1186    1.9279    0.4465
    0.3119    0.2967    0.2715
   -2.2586   -0.5556    0.3235
    3.0618   -1.6039    1.0085
    0.8757   -2.1076   -0.5427
    0.3119   -1.7989   -1.0108
   -2.2586    1.7479   -0.5653
   -1.6126    1.9279   -0.0397
   -1.1186   -0.5556   -0.2275
   -2.9031   -1.7989    0.9256
    0.6334   -1.7989   -0.8434
    2.2922   -2.2443    0.5161
   -2.2586   -2.2443    0.5293
    0.8757    1.5818    0.6752
    1.5159   -1.2175   -0.0558
    0.6334    1.5818    0.8409
    1.5159   -2.7585   -0.0221
   -2.7707    0.2967   -0.2860
   -0.6367   -1.6039   -0.7430
    2.2922   -0.5556    0.3682
    0.6334    1.1519    0.7773
   -1.6126   -3.0138    0.0052
   -0.9401   -1.7989   -0.6064
    3.0618   -2.2443    0.7634
    0.8757    0.6294    0.3576
   -1.1186    0.9298    0.3379
   -1.7247   -2.7585    0.0534
   -1.7247   -1.7989    0.1549
   -1.1186    2.5090    0.2485
   -2.7707   -3.0138    0.1244
   -2.0126   -1.7989    0.4502
   -0.6367   -1.2175   -0.8171
   -0.3145   -2.1076   -0.7444
   -0.6367    0.6294    0.4678
   -1.7247    0.6294   -0.0851
   -1.7247   -2.2443    0.1297
   -0.3145   -2.7585   -0.3678
    1.2983   -2.2443   -0.1930
         0         0         0
         0   -0.8417   -0.7375
    0.3119         0         0
    1.5159   -2.2443   -0.0425
    1.2983    0.2967    0.0721
   -2.0126    1.7479   -0.4512
   -2.7707   -1.7989    0.9205
    0.8757   -2.7585   -0.2281
   -2.7707    1.5818   -0.9932
   -2.0126    2.7486   -0.1531
   -1.7247    1.9279   -0.1340
   -0.3145   -0.8417   -0.7272
    2.6557    2.7486   -0.3498
   -1.1186   -2.1076   -0.4051
   -1.1186    2.8169    0.1514
   -2.2586    2.5090   -0.3458
   -2.0126   -1.6039    0.3889
    2.5464    2.5090   -0.5059
    2.5464   -0.8417    0.5789
    1.2983   -0.3094   -0.0814
   -2.9031   -1.6039    1.0460
   -2.2586   -3.0138    0.0781
   -2.2586    0.6294   -0.3471
    1.9283   -0.8417    0.2435
    3.0618   -1.2175    0.9291
   -1.1186    1.5818    0.4704
   -2.9031    0.6294   -0.6198
    3.0618   -3.0138    0.1238
   -0.9401    1.5818    0.5660
    0.6334   -0.8417   -0.6151
   -2.9031   -2.1076    0.7828
   -0.3145    2.7486    0.3432
    3.0618   -0.3094    0.2926
    1.2983   -2.1076   -0.2203
   -2.9031   -1.2175    0.9290
   -2.9031    2.7486   -0.3884
    3.0618   -2.1076    0.9355
    0.3119   -0.8417   -0.7180
   -2.7707   -2.1076    0.8631
